Node,Community,Connections
0,0,"3, 9, 10, 15, 18, 40, 76, 99, 196, 202, 215, 235, 236, 291, 300, 302, 308, 349, 370, 380, 383, 418, 530, 537, 657, 718, 734, 759, 767, 966"
1,1,"3, 4, 5, 7, 8, 9, 11, 13, 16, 22, 26, 29, 34, 35, 46, 48, 53, 55, 57, 58, 59, 62, 68, 71, 83, 88, 102, 106, 108, 109, 120, 128, 139, 142, 144, 155, 176, 183, 184, 185, 189, 194, 195, 198, 204, 205, 208, 211, 215, 229, 239, 243, 255, 259, 301, 308, 314, 320, 326, 359, 365, 372, 414, 417, 441, 445, 462, 486, 489, 516, 535, 574, 583, 605, 606, 609, 613, 627, 649, 678, 680, 724, 748, 758, 785, 820, 833, 839, 842, 850, 854, 863, 865, 908, 986, 994, 995"
2,1,"3, 4, 6, 19, 37, 61, 72, 82, 90, 92, 111, 116, 163, 174, 302, 305, 396, 401, 474, 478, 527, 569, 608, 636, 665, 810, 915, 940, 946, 968"
3,1,"0, 1, 2, 4, 5, 6, 9, 10, 14, 34, 36, 38, 50, 51, 52, 82, 99, 100, 108, 162, 165, 187, 194, 201, 230, 269, 297, 303, 305, 403, 444, 486, 528, 530, 591, 696, 792, 812, 830, 831, 835, 845, 896, 922"
4,1,"1, 3, 2, 5, 7, 8, 12, 16, 25, 32, 39, 53, 68, 82, 91, 109, 135, 172, 184, 189, 195, 234, 237, 248, 262, 278, 434, 455, 501, 525, 539, 594, 734, 736, 750, 972"
5,2,"1, 3, 4, 6, 8, 15, 24, 47, 48, 54, 86, 92, 140, 216, 277, 295, 508, 541, 556, 656, 949"
6,0,"2, 3, 5, 7, 14, 19, 20, 28, 31, 46, 54, 61, 564, 633, 844"
7,2,"1, 4, 6, 37, 55, 414, 960"
8,0,"4, 1, 5, 11, 18, 29, 32, 46, 56, 60, 65, 68, 69, 70, 74, 85, 90, 93, 94, 100, 104, 115, 118, 126, 140, 150, 159, 185, 190, 201, 202, 213, 224, 237, 263, 279, 289, 301, 328, 350, 361, 367, 369, 372, 376, 393, 427, 430, 439, 454, 457, 458, 478, 480, 493, 515, 536, 551, 554, 577, 582, 596, 613, 615, 639, 656, 685, 690, 708, 716, 729, 746, 779, 789, 793, 861, 884, 940, 941, 948, 953, 966, 970, 973, 979, 995"
9,2,"0, 3, 1, 10, 11, 12, 14, 16, 17, 18, 21, 22, 25, 31, 33, 36, 40, 44, 45, 49, 55, 63, 72, 76, 77, 79, 84, 131, 145, 161, 182, 183, 202, 212, 225, 226, 236, 243, 253, 269, 297, 300, 323, 331, 333, 345, 349, 395, 431, 436, 443, 463, 474, 481, 495, 518, 521, 550, 560, 592, 638, 639, 648, 677, 687, 711, 712, 740, 798, 801, 808, 822, 828, 855, 858, 859, 872, 908, 964, 972, 992"
10,0,"0, 9, 3, 12, 13, 15, 17, 20, 25, 26, 59, 77, 81, 103, 113, 132, 136, 143, 147, 149, 152, 165, 175, 177, 183, 187, 199, 210, 240, 266, 270, 299, 311, 319, 337, 380, 406, 408, 417, 422, 428, 437, 471, 482, 491, 503, 524, 533, 573, 629, 725, 761, 767, 768, 824, 837, 838, 873, 876, 906, 908, 919, 942, 950, 961"
11,1,"8, 9, 1, 13, 21, 28, 29, 38, 44, 59, 60, 73, 86, 89, 104, 112, 151, 178, 179, 180, 186, 217, 219, 226, 242, 249, 252, 254, 260, 276, 280, 286, 325, 329, 343, 345, 416, 432, 436, 462, 479, 483, 486, 529, 551, 567, 577, 597, 610, 614, 641, 668, 669, 672, 679, 728, 735, 757, 800, 823, 864, 869, 958, 962, 971, 989, 996"
12,2,"9, 10, 4, 17, 62, 161, 188, 298, 311, 374, 436, 611"
13,2,"10, 11, 1, 19, 24, 31, 35, 39, 44, 113, 160, 208, 221, 308, 364, 555, 563, 578, 683, 711, 795, 937, 984"
14,0,"9, 3, 6, 32, 52, 233, 512, 932"
15,1,"0, 10, 5, 437, 520"
16,0,"1, 4, 9, 22, 23, 48, 58, 69, 70, 73, 78, 119, 123, 125, 132, 134, 154, 156, 166, 172, 176, 178, 223, 228, 262, 264, 277, 280, 287, 337, 355, 360, 365, 370, 377, 396, 415, 429, 440, 446, 525, 526, 606, 634, 640, 642, 650, 658, 672, 720, 763, 803, 813, 930, 952, 963"
17,2,"9, 12, 10, 98, 148, 190, 267, 311, 472, 882"
18,0,"8, 9, 0, 40, 56, 66, 71, 79, 80, 89, 105, 115, 145, 206, 226, 251, 252, 285, 329, 335, 361, 391, 409, 420, 490, 540, 559, 584, 586, 649, 712, 781, 870, 885, 975, 978, 990, 998"
19,2,"2, 13, 6, 20, 23, 24, 27, 39, 61, 64, 67, 97, 113, 141, 142, 163, 174, 206, 234, 288, 332, 358, 385, 390, 392, 400, 435, 485, 564, 569, 638, 700, 752, 788, 817, 823, 872, 928"
20,2,"10, 19, 6, 23, 26, 27, 30, 37, 43, 54, 81, 86, 88, 104, 107, 122, 130, 148, 152, 170, 218, 313, 340, 341, 346, 472, 477, 500, 510, 515, 710, 713, 747, 754, 766, 780, 799, 811, 868, 959"
21,2,"9, 11, 84"
22,0,"16, 9, 1, 69, 77, 78, 95, 134, 143, 166, 229, 243, 259, 347, 386, 388, 535, 647, 740, 775, 874"
23,1,"16, 19, 20, 34, 41, 57, 127, 348, 358, 553, 947"
24,1,"5, 13, 19, 47, 107, 108, 114, 126, 153, 216, 346, 447, 461, 472, 563, 688, 705, 709, 762, 843, 886, 949"
25,2,"9, 10, 4, 28, 30, 33, 36, 45, 56, 64, 66, 81, 87, 91, 93, 101, 110, 112, 124, 149, 158, 187, 192, 199, 208, 238, 261, 264, 317, 321, 341, 364, 393, 410, 459, 463, 475, 489, 493, 546, 557, 571, 572, 584, 598, 600, 604, 675, 713, 714, 727, 760, 824, 860, 862, 906, 920, 936, 961, 971"
26,2,"1, 20, 10, 27, 53, 88, 140, 240, 266, 512, 753, 826, 838, 852"
27,2,"19, 20, 26, 30, 42, 47, 65, 92, 133, 216, 218, 261, 383, 676, 751, 981"
28,2,"25, 11, 6, 33, 42, 43, 73, 91, 122, 144, 159, 217, 220, 276, 285, 506, 510, 557, 588, 766, 795, 844, 901, 916"
29,1,"8, 11, 1, 38, 65, 80, 89, 97, 138, 157, 181, 258, 281, 301, 338, 343, 344, 393, 427, 507, 511, 523, 620, 622, 634, 954"
30,1,"25, 27, 20, 45, 64, 101, 129, 133, 168, 171, 321, 431, 463, 689, 756, 773, 784"
31,1,"9, 13, 6"
32,1,"8, 4, 14, 49, 52, 67, 100, 166, 173, 177, 184, 200, 233, 248, 346, 351, 400, 423, 434, 478, 559, 599, 607, 630, 663, 702, 717, 722, 744, 746, 776, 856, 867, 878, 897, 965, 982"
33,0,"25, 28, 9, 42, 49, 76, 87, 98, 142, 164, 188, 304, 318, 347, 395, 413, 466, 502, 600, 612, 669, 777, 867, 868, 944, 959, 985"
34,1,"1, 3, 23, 35, 41, 51, 75, 83, 146, 162, 170, 234, 255, 303, 325, 336, 384, 449, 505, 513, 542, 636, 642, 683, 703, 710, 756, 811, 881, 896, 957"
35,2,"1, 13, 34, 41, 146, 336, 384, 721"
36,0,"25, 9, 3, 50, 101, 117, 637"
37,0,"2, 20, 7, 43, 72, 75, 90, 96, 268, 283, 302, 313, 394, 524, 527, 565, 644, 782, 863"
38,0,"29, 11, 3, 84, 342"
39,0,"19, 13, 4"
40,1,"0, 9, 18, 71, 78, 79, 98, 107, 134, 196, 217, 235, 300, 306, 451, 509, 645, 660, 779, 816"
41,2,"34, 35, 23, 51, 127, 348, 358, 384, 464, 715, 721"
42,2,"27, 28, 33, 600, 764"
43,1,"28, 37, 20, 122, 179, 247, 285, 330, 339, 363, 371, 382, 394, 473, 552, 633, 663, 672, 705, 778, 812, 822"
44,2,"11, 13, 9, 219, 221, 258, 267, 610, 614, 632, 802, 980"
45,1,"25, 9, 30, 50, 57, 96, 169, 317, 442, 447, 927"
46,0,"1, 8, 6, 359"
47,2,"27, 24, 5, 164, 281, 575, 801, 954"
48,2,"1, 5, 16, 58, 60, 102, 106, 109, 119, 123, 128, 132, 141, 197, 222, 232, 244, 259, 265, 277, 295, 307, 309, 312, 315, 334, 353, 365, 377, 389, 405, 412, 420, 450, 465, 488, 513, 519, 549, 587, 608, 659, 674, 684, 697, 719, 723, 727, 743, 847, 860, 865, 873, 917, 934, 939, 955, 986, 987, 993"
49,1,"32, 9, 33, 63, 67, 74, 99, 135, 136, 203, 214, 269, 271, 333, 362, 368, 395, 500, 898, 920"
50,2,"36, 3, 45, 129, 158, 168, 230, 294"
51,1,"34, 41, 3, 95, 103, 227, 325, 335, 696, 706"
52,2,"32, 14, 3, 97, 157, 351, 366"
53,0,"1, 26, 4, 75, 117, 121, 191, 195, 207, 210, 231, 248, 270, 272, 284, 296, 354, 408, 416, 583, 645, 700, 768, 771, 773, 864, 903"
54,1,"20, 6, 5, 175, 299, 304, 811"
55,0,"1, 7, 9, 63"
56,2,"8, 18, 25, 66, 201, 206, 242, 315, 368, 579, 649, 776, 855, 907, 916, 924, 975"
57,2,"1, 45, 23, 155, 553"
58,2,"16, 48, 1, 62, 83, 120, 123, 136, 137, 138, 146, 151, 164, 167, 191, 236, 246, 264, 265, 293, 350, 352, 441, 450, 456, 539, 547, 550, 562, 574, 659, 743, 788, 809, 820, 895"
59,0,"10, 11, 1, 93, 110, 260, 272, 273, 501, 580, 641, 899, 929"
60,1,"48, 11, 8, 106, 307, 323, 488, 560, 684, 793, 955"
61,2,"2, 6, 19, 116, 163, 241, 274, 386, 485, 522, 759, 849, 892"
62,0,"58, 1, 12"
63,1,"9, 49, 55"
64,2,"25, 30, 19, 110, 129, 182, 192, 272, 307, 385, 435, 493, 522, 621, 628, 635, 644, 651, 695, 729, 760, 871, 921"
65,2,"29, 8, 27, 431, 440, 694, 751"
66,2,"56, 25, 18, 80, 87, 105, 290, 459"
67,1,"49, 32, 19, 74, 94, 131, 173, 174, 198, 200, 249, 357, 362, 382, 402, 403, 435, 460, 502, 538, 617, 618, 671, 714, 749"
68,1,"8, 4, 1, 70, 85, 253, 279, 322, 342, 390, 861"
69,2,"16, 22, 8"
70,1,"16, 8, 68, 322, 457, 514"
71,0,"1, 18, 40, 196, 203, 306, 424, 492, 689"
72,1,"9, 2, 37, 171, 331, 334, 883"
73,0,"16, 11, 28, 176, 242, 276, 324, 927, 952"
74,1,"8, 49, 67, 94, 115, 131, 153, 173, 190, 389, 409, 456, 460, 481, 541, 631, 671, 690, 693, 794, 856, 934"
75,1,"34, 53, 37, 96, 121, 156, 203, 268, 381, 755"
76,0,"0, 9, 33, 182, 238, 278, 521, 841, 868"
77,1,"9, 10, 22, 95, 152, 161, 289, 682"
78,1,"40, 16, 22, 212, 306, 492, 509, 880"
79,0,"18, 9, 40"
80,2,"66, 18, 29, 105, 181, 207, 330, 438, 511, 687, 789, 815, 885, 887"
81,1,"25, 10, 20, 102, 112, 121, 124, 137, 338, 374, 433, 453, 477, 499, 619, 636, 807, 862, 877, 996"
82,0,"2, 4, 3, 111, 665, 837"
83,0,"1, 34, 58, 239, 246, 321, 448, 539, 562, 771, 800, 802, 958"
84,0,"9, 21, 38, 85, 114, 490, 531, 534"
85,0,"8, 68, 84, 127, 155, 339"
86,0,"11, 20, 5, 120, 257, 428, 541, 962"
87,1,"25, 33, 66, 124, 158, 225, 319, 777"
88,1,"26, 20, 1, 128, 130, 378, 753, 761"
89,2,"18, 11, 29, 329, 464, 529, 540, 576, 618"
90,2,"8, 2, 37, 116, 138, 211, 356, 367, 379, 394, 401, 446, 470, 484, 498, 565, 946, 992"
91,0,"25, 4, 28, 149, 461, 614"
92,1,"2, 27, 5, 111, 148, 419, 494, 569, 714, 808"
93,2,"8, 25, 59, 273, 594"
94,1,"74, 8, 67, 118, 126, 150, 389, 427, 454, 502, 568"
95,1,"51, 77, 22, 103, 299, 508, 696, 742"
96,2,"45, 75, 37, 169, 327, 411, 447, 467"
97,0,"19, 52, 29, 133, 167, 338, 519, 620, 670"
98,0,"40, 17, 33, 188, 342"
99,0,"0, 3, 49, 362, 370, 418, 806"
100,1,"8, 32, 3, 144, 204, 245, 290, 310, 324, 379, 399, 400, 409, 458, 503, 545, 570, 616, 741"
101,1,"25, 30, 36, 117, 171, 261, 637"
102,2,"48, 1, 81, 119, 239, 315, 347, 433, 652, 953"
103,2,"51, 95, 10, 147, 178, 345"
104,2,"8, 11, 20, 170, 179, 180, 263, 279, 371, 480, 578, 595, 759"
105,0,"18, 80, 66, 438"
106,0,"48, 60, 1, 169, 244, 373, 489, 560, 573, 674, 676, 707, 728, 926"
107,1,"40, 24, 20, 114, 209, 518, 725, 797"
108,2,"24, 3, 1, 139, 194, 209, 354, 355, 444, 504, 624, 643, 675, 678, 780, 796"
109,1,"48, 1, 4, 197, 359"
110,1,"64, 25, 59, 273, 621, 815, 921"
111,1,"2, 92, 82"
112,2,"25, 81, 11, 137, 186, 237, 353, 419, 456, 477, 483, 494, 497, 666, 765, 905, 953"
113,0,"10, 19, 13, 147, 160, 209, 270, 290, 316, 406, 426, 602, 616, 617, 627, 701, 816, 818"
114,1,"24, 107, 84, 220, 461, 518, 688, 694, 825, 843"
115,0,"8, 74, 18, 118, 150, 153, 154, 275, 328, 388, 469, 548, 615, 772, 884"
116,1,"2, 61, 90, 274, 401, 445, 769, 835, 849"
117,0,"101, 36, 53, 143, 207, 257, 637, 960"
118,2,"8, 115, 94, 135, 224, 635"
119,0,"48, 16, 102, 125, 172, 265, 730, 901"
120,0,"1, 58, 86, 151, 326, 388, 396, 505, 563, 738, 911, 997"
121,1,"81, 75, 53, 156, 224, 433, 576, 613, 927, 981"
122,0,"43, 20, 28, 916"
123,0,"16, 48, 58, 125, 141, 154, 227, 284, 293, 312, 332, 373, 375, 568, 580, 619, 681, 706, 814, 840, 865, 974"
124,2,"25, 87, 81, 225, 254, 699, 852"
125,2,"16, 123, 119, 256, 726"
126,2,"8, 94, 24, 160, 193, 250, 425, 532, 655"
127,0,"41, 23, 85, 348, 443"
128,2,"1, 48, 88, 130, 232, 719, 933"
129,0,"64, 30, 50, 168, 180, 229, 294, 320, 566, 655, 691, 692, 879, 893"
130,2,"88, 20, 128, 313, 340, 378, 387, 476, 514, 526, 599, 656, 719, 733, 738, 791, 799, 888, 960"
131,2,"9, 67, 74, 145, 251, 473, 479, 830"
132,1,"48, 16, 10, 222, 334, 437"
133,0,"97, 27, 30, 167, 175, 383, 581, 676"
134,0,"40, 16, 22, 223, 228, 287"
135,1,"49, 4, 118"
136,0,"49, 58, 10, 139, 312, 318, 397, 516, 745, 898, 919, 941, 942"
137,1,"81, 112, 58, 186, 189, 352, 353, 449, 499, 558, 589, 603, 623, 853, 875, 905, 987"
138,2,"90, 58, 29, 157, 211, 356, 379, 399, 498"
139,2,"136, 1, 108, 252, 255, 444, 543, 846"
140,2,"8, 5, 26, 240, 471"
141,1,"19, 48, 123, 197, 295, 582, 604"
142,0,"33, 19, 1, 485, 867"
143,2,"10, 117, 22, 534, 874"
144,2,"100, 1, 28, 159, 204, 220, 245, 304, 310, 570, 588, 616, 764"
145,1,"9, 18, 131, 251, 286, 387, 998"
146,0,"58, 34, 35, 505, 543"
147,1,"10, 103, 113, 165, 256, 278, 316, 343, 344, 357, 386, 576, 647, 666, 686, 733, 739, 873, 938"
148,1,"17, 92, 20, 419, 494, 665, 706"
149,2,"25, 91, 10, 266, 572"
150,0,"8, 94, 115, 404, 469"
151,2,"58, 120, 11, 428, 774, 820"
152,0,"20, 77, 10, 210, 212, 288, 491, 682"
153,1,"24, 115, 74, 275, 316, 391, 442, 487, 693, 732, 925"
154,2,"115, 123, 16, 227, 284, 287, 296, 391, 879"
155,1,"1, 57, 85, 986"
156,0,"16, 121, 75, 235, 803"
157,0,"52, 29, 138, 507"
158,1,"25, 50, 87, 238"
159,0,"8, 28, 144, 185"
160,0,"126, 13, 113, 162, 181, 193, 205, 250, 723"
161,1,"9, 77, 12, 289, 374, 536, 547, 611, 648, 813, 972"
162,0,"160, 34, 3, 193, 205, 336, 531, 591, 659"
163,2,"2, 19, 61, 241, 392, 788, 826"
164,0,"33, 58, 47, 191, 801"
165,1,"3, 147, 10, 357, 476, 737, 837"
166,0,"32, 16, 22, 292, 327, 566"
167,2,"97, 133, 58, 562, 722"
168,0,"129, 50, 30"
169,0,"96, 45, 106, 467, 529, 698"
170,0,"104, 20, 34, 263, 595, 710, 748, 754, 878"
171,1,"72, 101, 30"
172,2,"16, 4, 119, 177, 410, 963"
173,1,"32, 67, 74, 198, 223, 538, 897"
174,2,"19, 2, 67, 262, 403, 733, 784, 915"
175,2,"10, 133, 54"
176,2,"73, 16, 1, 324, 360, 646, 999"
177,0,"32, 10, 172, 337, 423, 528, 786"
178,1,"16, 11, 103, 257, 542, 711, 763"
179,1,"11, 104, 43, 249, 254, 298, 339, 441, 778, 929, 981"
180,1,"129, 11, 104, 320, 480, 692, 757, 900"
181,2,"160, 29, 80"
182,1,"64, 76, 9, 911"
183,1,"9, 10, 1, 219, 297, 798"
184,0,"32, 4, 1, 200, 681, 702, 731, 734, 819"
185,0,"8, 159, 1, 241, 281, 468, 523, 601, 813"
186,2,"112, 137, 11, 268, 352, 449, 577, 905"
187,0,"10, 25, 3, 199, 459, 513, 554, 584, 697, 898, 906"
188,0,"33, 98, 12"
189,1,"1, 4, 137, 589, 603, 632, 796"
190,0,"8, 74, 17, 430, 645"
191,0,"58, 164, 53, 623"
192,0,"64, 25, 354, 588, 760, 920, 994"
193,0,"160, 126, 162, 877, 938, 945"
194,2,"1, 3, 108, 369, 372, 785, 832, 839"
195,2,"1, 53, 4, 231, 245, 326, 783, 991, 994"
196,2,"40, 0, 71, 291, 349, 451, 851"
197,1,"48, 141, 109, 232, 821, 822, 899, 929"
198,1,"1, 67, 173"
199,2,"10, 187, 25"
200,0,"32, 184, 67, 702, 731, 862"
201,2,"56, 8, 3, 213, 222, 228, 247, 363, 452, 836"
202,0,"8, 0, 9, 213, 214, 215, 282, 369, 375, 385, 398, 407, 450, 475, 515, 693, 698, 894, 910, 918"
203,0,"49, 75, 71, 368, 699, 883"
204,1,"144, 1, 100, 417"
205,2,"1, 162, 160, 218, 250, 591, 673"
206,0,"18, 56, 19"
207,2,"80, 53, 117, 408, 789"
208,2,"25, 13, 1"
209,2,"113, 107, 108, 275, 355, 537, 586, 596, 797"
210,2,"152, 10, 53, 288, 768, 903"
211,2,"1, 90, 138"
212,1,"152, 9, 78"
213,0,"8, 202, 201, 214, 398, 549, 852, 964"
214,1,"49, 202, 213, 233, 282, 333, 475, 625, 626, 679, 904"
215,0,"0, 202, 1, 445"
216,1,"24, 5, 27, 949, 993"
217,1,"40, 11, 28, 602, 928"
218,0,"27, 20, 205"
219,1,"11, 44, 183, 221, 258, 632"
220,2,"144, 28, 114, 570, 610"
221,0,"44, 219, 13, 267, 271, 314, 432, 448, 545, 555, 556, 651, 787, 977"
222,0,"201, 132, 48, 244, 247, 309, 405"
223,1,"16, 134, 173, 230"
224,1,"8, 118, 121, 685, 884"
225,0,"9, 124, 87, 495"
226,1,"9, 18, 11, 253, 679, 728, 964"
227,0,"154, 123, 51, 256, 335, 373, 453, 755"
228,0,"16, 134, 201, 429, 640, 836"
229,1,"129, 22, 1, 879"
230,2,"50, 3, 223, 294, 481"
231,2,"195, 53, 575"
232,1,"48, 197, 128, 557, 662, 899"
233,1,"32, 214, 14, 282, 620, 630, 670, 695, 746, 769, 806, 889, 926"
234,0,"34, 19, 4, 750, 858, 887"
235,2,"40, 0, 156, 418, 641"
